Date,Return_1d,Return_5d,Dist_SMA20,Dist_SMA50,RSI_14,MACD_Hist,Volume_Change,SPY_Return,VIX_Change,Sentiment_Score,Close
2010-03-16,0.09138059072747087,0.023093298523701906,1.2134494267386349,0.854596262491181,1.066968364488523,0.24700500354721383,-0.3936368716013093,0.6854511608570937,-0.16678113435961364,-1.824361560789596,6.719006061553955
2010-03-17,-0.150291369002844,-0.23420810658063781,1.0457183108072312,0.816480848791804,1.0080635978403631,0.18823114702387878,-0.12122370488448925,0.4974673413410975,-0.41665179675486,0.2891371379060219,6.709126949310303
2010-03-18,0.07063215658298827,-0.2493812254306781,0.9762303028337641,0.8378176227300037,1.0513058051636115,0.1390904351934248,-0.7805082148597796,-0.09640703248008085,-0.15614812446627654,-0.42899070526131294,6.7249932289123535
2010-03-19,-0.6809839841175881,-0.662244213841735,0.5837979205268542,0.6547103101912225,0.6067937085195207,0.06931411624808136,1.52738140812536,-0.5159685647985338,0.18409906594379488,-0.724518345854375,6.653149604797363
2010-03-22,0.5823670986101968,-0.03970580203640299,0.7231046595998784,0.8066035833630867,0.8393222650436859,0.038373394280305596,-0.6298903756902545,0.4438573255496932,-0.05513655851884426,0.5803637044978596,6.727987766265869
2010-03-23,0.8596606876293157,0.31770409172048436,0.9438698727038318,1.0313888021944098,1.1299993405422006,0.04421004069638717,0.697118124358661,0.5994758859552458,-0.278425710200383,1.0049858427551206,6.836054801940918
2010-03-24,0.18916338134355698,0.4783938673337919,0.8890946422883164,1.0718717447769925,1.204442887803523,0.047011614217058656,-0.16539810600305838,-0.4969074485141563,0.6359918462142707,0.9040063050372601,6.866287708282471
2010-03-25,-0.7486962132431204,0.08974718361066011,0.4481595865418144,0.8561276441792056,0.712733273956777,0.0108367801404315,-0.3894780741448877,-0.19910275756631346,0.4499192431790469,-0.8888647651304095,6.784863471984863
2010-03-26,1.0145810484604125,0.8930792502825797,0.7650836898618193,1.1177612489083375,1.054452578474913,0.02078504027380144,0.33355314437850914,-0.1045482015575709,-0.33690523657446686,-0.3521620477481272,6.912091255187988
2010-03-29,0.3061056886322314,0.7612197814922069,0.7946300443767517,1.1851367714820091,1.1608910176167269,0.031815374609375835,-0.5563965764712812,0.5362300629399476,-0.09766859809219264,0.29640732535336917,6.956692695617676
2010-03-30,0.7920643229269835,0.7292612031456656,1.0165104874697566,1.3762213371673755,1.387184979048953,0.06225496266238068,-0.21047966619627084,0.013729841360340037,-0.24652769454000678,0.9488306811771506,7.060269832611084
2010-03-31,-0.2731941828620512,0.5083874569804434,0.7800988192630103,1.287762189169917,1.2340873931925067,0.06058284175814347,-0.6276058152845554,-0.36334947265547923,0.2425806203571489,-0.5242716841091625,7.034825325012207
