Date,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,Log_Return,SPY_Close,SPY_Return,VIX_Close,VIX_Change
2010-03-16,0.0008362274731994607,0.2187137370270491,0.0,0.0,0.7079665059389713,0.6303022726760864,0.6046361755497384,0.5597798241608676,0.042887668999516904,0.6111072585923981,0.11624744999099942,0.4077647040872013
2010-03-17,0.0007107851783080682,0.22091950641497096,0.0004514017498851719,8.903320363583267e-05,0.6966089580515021,0.6301199737415557,0.6062377773653177,0.5430665644606886,0.04511257624560372,0.6011161873104739,0.10564241036631894,0.39670585183536305
2010-03-18,0.0009122509047399807,0.16162000490316253,0.0009059433107667936,0.00017947521065615757,0.7049465760131719,0.6298683571252747,0.6074595289051966,0.5583476754788029,0.044919149045579476,0.5694190756846591,0.10169952797466408,0.40823530309340533
2010-03-19,0.0,0.28002375309852634,0.0013366291083879711,0.00027881233182697196,0.6192392943877346,0.6286214303636004,0.6081419200450839,0.5061177997813968,0.04300887414854371,0.5469022882355598,0.1064581746658545,0.4232940673828125
2010-03-22,0.000950274730008735,0.2238956171174852,0.0018457915133956865,0.0004036003565581897,0.6640735984042797,0.628187392641036,0.608585144080303,0.5935205960590543,0.04501622523918403,0.5982631811967974,0.10509857614418841,0.41270590389476103
2010-03-23,0.0023224807160172056,0.30344212906213397,0.0025008199568581635,0.0005478509937335702,0.7201196366558706,0.6287527645609472,0.6090734845102124,0.6124508717312183,0.04767130033808553,0.6065403052936748,0.09802854972773475,0.40282350427964153
2010-03-24,0.0027063699825004423,0.30090839257988067,0.0031016425752720123,0.0007174631779268692,0.7344732484439236,0.6292571136521561,0.6095834806800284,0.5665223069898526,0.04582566598966048,0.5479274798727203,0.11434396538184374,0.44329407635857077
2010-03-25,0.0016724670558974225,0.2706744027675629,0.003617501621442032,0.000884169941857374,0.6396657175126768,0.6285063340197385,0.6098138508496181,0.5013786934875162,0.04521060836777008,0.5639171481141385,0.12590073434476232,0.4350588181439568
2010-03-26,0.003287971030882686,0.3243862602489717,0.004167473569035865,0.0010625023145992146,0.7055533117768085,0.6290261053992845,0.6101211195665353,0.6229879612074816,0.04498378959419019,0.5689831359980126,0.11733514436794001,0.40023529950310205
2010-03-29,0.0038543080564142213,0.2698354171774128,0.004657172412682403,0.0012646984952634915,0.7260759237555858,0.6296462360691859,0.6105136511008267,0.5745709620731702,0.047379775089787246,0.6031780264985427,0.1148878255366538,0.41082350786994487
2010-03-30,0.005169502523516556,0.2625164119746125,0.005222209719462301,0.0015281880738002296,0.7697081228094098,0.6309725814447706,0.6111414760503626,0.6078444834171384,0.047638831730037856,0.575312854849918,0.10863356341973571,0.40423525641946234
2010-03-31,0.0048464150489678365,0.20986167633679276,0.005759415080205943,0.0017039652983146386,0.7401890658338264,0.6314486787717664,0.6117563757580203,0.534540043060793,0.04634384519626944,0.5551048545844202,0.1148878255366538,0.42588236191693474
2010-04-01,0.0052151250590898035,0.30383111329029444,0.006288040046528845,0.0019174341504891307,0.7530707329147097,0.6318394963742697,0.6123407589633953,0.5653518134878425,0.048933950116021696,0.6055788368336317,0.11325627100490313,0.4122352600097656
2010-04-05,0.006172992444653802,0.34815701016044237,0.006696959510269107,0.0021853273092156122,0.7850043173871362,0.6326583533183191,0.6130019986881639,0.5912755731336008,0.052042036464059804,0.6120043051302823,0.10713799985936709,0.4044706008013557
2010-04-06,0.006572103350743028,0.21877322873253247,0.007125132192368239,0.002553349734160437,0.7976544738027396,0.6333296939110058,0.613689822771615,0.5664431761563521,0.05294852044508691,0.5835696136925345,0.0963969951959841,0.39647055233226103
2010-04-07,0.006975059022603869,0.31764539238920214,0.0074930364374012765,0.0028838572806500345,0.810406560487525,0.6338810668279712,0.6143705312194895,0.5665341698437977,0.05074701696723749,0.5436760633179686,0.10169952797466408,0.42423531027401196
2010-04-08,0.006727958651100194,0.28740225000680997,0.007809248306256386,0.0031833654013179724,0.7832032467096051,0.6337812455287536,0.6148914812814662,0.5381470551274754,0.0520744061829459,0.589013915724356,0.0997960433655084,0.41176466100356157
2010-04-09,0.007427354846075387,0.15730151725640815,0.008150154310243268,0.0034819930023359813,0.8075101673613745,0.633974517637538,0.6153539675311333,0.579382184914049,0.054599903517141335,0.6042556108056762,0.09517333578034098,0.40705880557789526
2010-04-12,0.0076174497534221425,0.1566715153496227,0.00847850640382286,0.0038606718612854835,0.8139995713975199,0.6339635887045749,0.6157213708573389,0.5571681963721219,0.055215060028193264,0.5797855395245993,0.0875594751417568,0.4018823511460249
2010-04-13,0.007670628616055178,0.14206248808259103,0.00886754462033526,0.004304254150478248,0.8159042902610556,0.6336767621362511,0.6159474332919336,0.5512329499035271,0.05550648638733002,0.5756566646199186,0.09598912601255608,0.42964706420898435
2010-04-14,0.008909793596867749,0.19537925962245647,0.009312040719450451,0.004753032024631107,0.8572350669608564,0.6341821619779269,0.616247855662289,0.6021779891006268,0.05990969112135197,0.6276456664542994,0.0876954401804593,0.4007058536305147
2010-04-15,0.010137563539598174,0.18051090953665114,0.009831038909919598,0.005220303616975758,0.8909212135743532,0.6352928352511135,0.6167509674716799,0.6009960743229641,0.06023345423632104,0.5760187295068705,0.09177430057715641,0.42211763718548945
2010-04-16,0.009559825421235263,0.384134237694424,0.01030713746172579,0.005644512369712515,0.8215214894044431,0.6353349099980684,0.6171634113730965,0.5245173163546142,0.053984747006089406,0.49278364546575,0.1253569001226317,0.4731764625100528
2010-04-19,0.009434358907346868,0.2840981722099643,0.01082655300471301,0.006129045064960759,0.8064402732018403,0.6349225819419276,0.6173958139021117,0.543609997477698,0.055441615097342356,0.5905188302918349,0.11148877736712948,0.3910587983972887
2010-04-20,0.00849167077814414,0.37747726839366946,0.011241750090354233,0.00656170719911299,0.6978459559625326,0.6334663482715963,0.6172372059639136,0.5087171269353763,0.05890593316839726,0.615829287255452,0.08959889885693548,0.37717644186580884
2010-04-21,0.014052709716442402,0.5104427555773474,0.011887566443691752,0.007135008535298359,0.8650109737273226,0.6367207087470537,0.6178802679477933,0.7805060169051088,0.05819366750068683,0.5629578400576062,0.0976206546116272,0.42894116569967833
2010-04-22,0.01680855305503695,0.407494647380894,0.012663972466598353,0.007753928139873398,0.9106520962826803,0.64125123077109,0.6194665926123042,0.6588909582010696,0.059359241085018444,0.5866513702558592,0.09966007832680587,0.41858821195714613
2010-04-23,0.018465810580826886,0.40941821252485633,0.013588542300249612,0.008420666680715796,0.9327540934274088,0.6457989190244919,0.6218115887752509,0.6136255034534728,0.06191710813810003,0.6040619727058704,0.10169952797466408,0.41858825683593753
2010-04-26,0.017960299566226856,0.23623480700607444,0.014396338099404299,0.009044429914889851,0.8938100243603511,0.6484752964068887,0.6243207891639972,0.5293095431580814,0.06042767254963788,0.5532736518466101,0.11325627100490313,0.43505877326516545
2010-04-27,0.015124642523063406,0.36168755958704474,0.015016834622181632,0.009587437980410132,0.7024367406513727,0.6476802608028067,0.6261400521994165,0.43703323312880643,0.05113542063081722,0.4538195690923465,0.1858599419805568,0.5407058715820312
2010-04-28,0.014957404294122623,0.3884145896325352,0.015555714726575978,0.010099976026060484,0.6923300910531085,0.6464359879965573,0.627301080434389,0.5422333352909362,0.05404961829607713,0.6093002196386426,0.16233853487129166,0.3743529375861673
2010-04-29,0.017633391544903537,0.27969426057584923,0.01625971108764604,0.010681996288300091,0.7575365107190013,0.6472635467482956,0.6284256949413496,0.6547879505185592,0.05884125965673265,0.6327560371475246,0.12644459449957238,0.35294117647058826
2010-04-30,0.014763591770738424,0.27077203018168944,0.016785408919415393,0.011194182378589324,0.603081322207524,0.6450048798513482,0.6287910091082568,0.43529876606077517,0.05220398394765202,0.4875168226765193,0.17552683243328135,0.49999995512120865
2010-05-03,0.01676291235521596,0.22276374928495543,0.01736844472021075,0.011763785307801491,0.6553861514356975,0.6444805229678349,0.6289592029772955,0.6284383443032437,0.057189975473839805,0.6355082500051734,0.15023793168624253,0.37129413380342374
2010-05-04,0.013847477935979083,0.3695740241344556,0.01776899579927589,0.012276850935800651,0.5270388459910287,0.6411557031641829,0.6283071397831776,0.43245796557779403,0.04802740020888685,0.4545084154943895,0.19986402977476156,0.5009411531336168
2010-05-05,0.012824951883210464,0.4563510664378524,0.01809106593742199,0.012795817321976488,0.48708423600023754,0.6372789078094241,0.6268682791803595,0.5072614488155462,0.04576095951494208,0.542462068584612,0.21441195179109693,0.44023527257582723
2010-05-06,0.009122684635128026,0.6757717305439787,0.018222909331288506,0.013197304683873673,0.36226161698205406,0.6307427667519772,0.6241708067130528,0.3943033749462833,0.03319867376449115,0.4052418236890434,0.3216859037228268,0.6007058536305148
2010-05-07,0.005173292796544937,0.8883279670943314,0.018098810293411954,0.013495491954928107,0.2601167958298173,0.6219881419151769,0.6199415742292788,0.37708961433963517,0.02775937432168213,0.49798211153504934,0.432494894795463,0.6068235509535845
2010-05-10,0.012064729677303779,0.511486148565825,0.01834365854851494,0.013930267785127098,0.4559561805989075,0.6207827005142428,0.6162729931614098,0.8441369838454105,0.043623997696541794,0.7846564282730746,0.2678449931652478,0.13011761833639707
2010-05-11,0.013026405500143903,0.43772101005148323,0.01863852476949375,0.014348839220168705,0.4780440033087807,0.6204801581866464,0.6132665498931723,0.5884418698748839,0.04255553326886857,0.5579067370303986,0.2607749667487942,0.40282350427964153
2010-05-12,0.015143630216700815,0.3317434011604151,0.01898173321265173,0.014817695523439825,0.5250715806653398,0.6218677846571369,0.6111896934796679,0.6345610245441133,0.04780064736141465,0.6404969872855006,0.2227056376231937,0.3491764741785386
2010-05-13,0.013725856187862304,0.3019609381384326,0.019179289293843826,0.015249477979604992,0.4843932202386888,0.6215679116473821,0.6094572614681654,0.4917953350877139,0.043073745438531374,0.5102142092646431,0.23847721905517213,0.44235292322495406
2010-05-14,0.012000149721839368,0.3889378115551197,0.019313643136443154,0.01562912601336118,0.4367650834241662,0.61968836993454,0.6076266355531941,0.47826203434750225,0.03627455520891243,0.4817734330180037,0.30047585040614533,0.5223529142491958
2010-05-17,0.01215217236592342,0.39082934270382175,0.019463274347974124,0.015939730617443054,0.44074648933023486,0.6181839806326573,0.6058062117309305,0.5552079845856532,0.03646867463306763,0.5745455403173573,0.2950373785214423,0.40564705343807445
2010-05-18,0.01144518957014222,0.4016400533899921,0.01962588248935765,0.01623281109897126,0.42008651837140176,0.6162626557140038,0.603895306889093,0.5196606405261772,0.03145037931410144,0.5043555005851222,0.3318830482313997,0.47882349350873166
2010-05-19,0.009917122229027353,0.5340518100841709,0.01939819468974742,0.01645579172363322,0.37617842611231966,0.6133407025473775,0.6016752788436001,0.4849211619052352,0.029378156933473454,0.5437644941732647,0.3559483154954749,0.4567058787626379
2010-05-20,0.005895539615176845,0.6741669799242733,0.018797370737938954,0.016569571920107218,0.27648465311034964,0.6075548392287522,0.5985303804455359,0.3753843120993527,0.015715168888678632,0.381981600306409,0.49830046943206796,0.6614117790670956
2010-05-21,0.007628844791504288,0.6420109503963389,0.018200733645257303,0.01671769743290638,0.33123865288054466,0.6044683438294169,0.5952842285492018,0.6246593045721172,0.02079830253457865,0.6434794238807928,0.42093809989986486,0.28117639878216916
2010-05-24,0.009316497158512238,0.38614627768243853,0.017724842769664143,0.016895235696720662,0.3816094744321351,0.6034932210522788,0.5924566029771313,0.6213077584464684,0.016265454109742894,0.5082106704477642,0.3967368935297667,0.37317648494944855
2010-05-25,0.008731166384594063,0.5461896434311242,0.01737284525582644,0.017083518348310622,0.36594934516025013,0.6022570791356462,0.5899020440112617,0.5239782467300534,0.016621619906651897,0.5769860724524938,0.346295031141712,0.32776471306295957
2010-05-26,0.00830926540234056,0.4386728773392171,0.017006827097492405,0.017256654574983765,0.35427945698447727,0.6009690279997331,0.5875536571410903,0.5308481654921455,0.01451699484408392,0.5421028656499882,0.35186946806511754,0.42470586440142466
2010-05-27,0.011821474071571705,0.33822799705810247,0.016686847722120465,0.017514068329464727,0.45982692476532727,0.6029891226326731,0.5861528813310859,0.6970304067234564,0.02614059170989086,0.7345699602685383,0.27926579708946386,0.2894117467543658
2010-05-28,0.013163260997365173,0.419583667020784,0.016598740338696308,0.01779790118037272,0.49538840793914674,0.6057386276050529,0.5856827653797742,0.6040892174506968,0.021640145966995095,0.5096178856332121,0.3117606892916588,0.47129408892463237
2010-06-01,0.01466469955129343,0.45273885211516984,0.01648322169524047,0.01813765467415676,0.5335527266883668,0.6091635784195284,0.5861169808789881,0.6097605401651922,0.015682700280630957,0.4882091578238835,0.35893949448157114,0.49670589671415444
2010-06-02,0.015850649340977477,0.35035820326332706,0.01659350776483376,0.018482868315599615,0.5625977149485707,0.6128113188874159,0.587327371287241,0.5963312966564662,0.024748265278087045,0.6988176354934483,0.28592792838980996,0.28870584824505974
2010-06-03,0.015535196905228754,0.32941559750483507,0.016742722290544007,0.018788982087106484,0.5507744936972171,0.6153196096624388,0.5888891195036533,0.5363789817161201,0.025978512374083162,0.5889163371962258,0.2762746181033676,0.39835290347828584
2010-06-04,0.012813544735629845,0.38836119964043475,0.01694592529797878,0.019023146307290503,0.45463874113120784,0.6148673433722263,0.5900315165078119,0.4389542270647401,0.013383922830853878,0.3954144040443156,0.35812370424935613,0.5567058787626379
2010-06-07,0.010905408674806355,0.45844242869984475,0.017261511138056823,0.01923705619081427,0.39528998520977043,0.6127901568680159,0.5904539930734003,0.469976841263535,0.009077761327382639,0.5101119807284028,0.3729435563430965,0.4407058715820313
2010-06-08,0.010293412785206082,0.5204556672387023,0.017163989988570466,0.019399359094000715,0.37689739188895244,0.6105620281809544,0.5902648219146817,0.523273812495533,0.012736363637861958,0.6245345644531594,0.3339224978792579,0.3475294225356158
