Date,Close,High,Low,Open,Volume
2010-01-04,6.4064812660217285,6.421149562639879,6.357686597783846,6.389118719062898,493729600
2010-01-05,6.417557239532471,6.45377913699936,6.383729831431048,6.424143184410481,601904800
2010-01-06,6.31547737121582,6.44300241273785,6.308891426463777,6.417557116786033,552160000
2010-01-07,6.303800582885742,6.3463094541693,6.257999539269732,6.3388254275910345,477131200
2010-01-08,6.345710754394531,6.346309876241631,6.2583001159139355,6.295419291486841,447610800
2010-01-11,6.289733409881592,6.376246381019195,6.240040260139241,6.370259158235515,462229600
2010-01-12,6.21818733215332,6.2795555706186486,6.179271580379201,6.262192223649726,594459600
2010-01-13,6.305896282196045,6.314278392192159,6.109819976354281,6.222676702144508,605892000
2010-01-14,6.269376277923584,6.3002100727529875,6.2571028720228075,6.289732833522723,432894000
2010-01-15,6.164602756500244,6.334336922664051,6.162806589692905,6.314279726648758,594067600
2010-01-19,6.437314510345459,6.441804927472043,6.2038188149795666,6.23644798038945,730007600
2010-01-20,6.338228225708008,6.45258097459288,6.271471895870718,6.433422262846363,612152800
2010-01-21,6.228664398193359,6.385526444250613,6.2029201385068635,6.348706221631244,608154400
2010-01-22,5.9197306632995605,6.211600961075492,5.9020691565602705,6.19004775977148,881767600
2010-01-25,6.078986167907715,6.127780423661184,5.992772178033503,6.062222347645535,1065699600
2010-01-26,6.164902210235596,6.397500619425717,6.064319265600282,6.165201571374649,1867110000
2010-01-27,6.222977638244629,6.3038027550547255,5.973016260251572,6.192143837798432,1722568400
2010-01-28,5.9658308029174805,6.151730053318206,5.948169296988981,6.134667269602947,1173502400
2010-01-29,5.749397277832031,6.052942611532726,5.695214122616389,6.019414970690484,1245952400
2010-02-01,5.829324722290039,5.8673427794678386,5.726646271611073,5.758677107286539,749876400
2010-02-02,5.863152980804443,5.876923593210651,5.788913416672095,5.864650186181864,698342400
2010-02-03,5.964034080505371,5.9930717054605545,5.820044599087386,5.842496280310649,615328000
2010-02-04,5.749098777770996,5.93829019507585,5.734729445101834,5.8891957744849535,757652000
2010-02-05,5.851179599761963,5.867345104223348,5.713177286902064,5.766462780023556,850306800
2010-02-08,5.811065196990967,5.923622584466886,5.8074728634091874,5.858064095323747,478270800
2010-02-09,5.873030662536621,5.912245764485061,5.829923466915652,5.879915567609839,632886800
2010-02-10,5.840999126434326,5.885304163761113,5.815254874562057,5.864049128758826,370361600
2010-02-11,5.947268962860107,5.979599552630937,5.809266733110668,5.833813936532001,550345600
2010-02-12,5.998461723327637,6.036180429432904,5.852376677378631,5.930507940298587,655468800
2010-02-16,6.088865280151367,6.097546351793125,6.032586596136439,6.045159361819439,543737600
2010-02-17,6.06342077255249,6.11610672726925,6.012829146486282,6.1125143940800974,436396800
2010-02-18,6.074794769287109,6.103533030740202,6.014624396580585,6.035878232015699,422825200
2010-02-19,6.037076950073242,6.082878398525714,6.020313128331962,6.042765210593994,415469600
2010-02-22,5.999659061431885,6.061924985567922,5.96283883667206,6.057135606542945,390563600
2010-02-23,5.899074554443359,6.026898942259812,5.858662006287867,5.987084716604009,575094800
2010-02-24,6.006843566894531,6.030192936538908,5.922424924144838,5.934100008648123,460566400
2010-02-25,6.046956539154053,6.072700796983845,5.893986598782746,5.9086548944784765,665126000
2010-02-26,6.125387668609619,6.141852132461759,6.046957044365873,6.05833236858046,507460800
2010-03-01,6.256202697753906,6.271469309013459,6.150230904786684,6.15921133488305,550093600
2010-03-02,6.252014636993408,6.311286543176026,6.218785950590284,6.284344440626672,566546400
2010-03-03,6.26638126373291,6.282546761179052,6.224771674586259,6.254706981606017,372052800
2010-03-04,6.307692050933838,6.313978633034565,6.24542615107434,6.264885019162327,366041200
2010-03-05,6.554361343383789,6.576813025994735,6.425040147149231,6.43432034116325,899620400
2010-03-08,6.558253288269043,6.588487561201193,6.533406715930783,6.586093072012915,429889600
2010-03-09,6.676198959350586,6.735470861847223,6.522630303316937,6.535203070561518,920259200
2010-03-10,6.7306809425354,6.749840053638543,6.68158731905782,6.700446669368921,596218000
2010-03-11,6.750438690185547,6.750438690185547,6.685179959496295,6.702842266911844,405700400
2010-03-12,6.78336763381958,6.8171942399943255,6.757922339310175,6.806417240101897,416323600
2010-03-15,6.700747013092041,6.750438966397475,6.593278356893689,6.746847431901077,493502800
2010-03-16,6.71900749206543,6.734873234178593,6.660933024599515,6.710925140266447,446908000
2010-03-17,6.709128379821777,6.7788775269082455,6.683683482330683,6.732477749336718,450956800
